Name,Pos,Tm/Bye,Average,Stdev,Rank,Tier,ECR,ECRAvg,ADP,ECR vs. ADP,PS,Baseline
Tyler Lockett,WR,SEA/6,3.7,0.73,22.0,4.0,5|02,50.1,48.0,-0.16666666666666666,0.34,
DJ Chark,WR,JAX/7,3.67,0.66,23.0,4.0,5|01,49.4,51.0,0.25,0.31,
Keenan Allen,WR,LAC/10,3.63,0.71,24.0,4.0,5|08,56.9,49.0,-0.4166666666666667,0.29,
DK Metcalf,WR,SEA/6,3.38,0.68,25.0,4.0,5|07,55.1,53.0,0.16666666666666666,0.27,
TY Hilton,WR,IND/7,3.24,0.5,26.0,4.0,6|07,67.0,62.0,-0.16666666666666666,0.25,
Stefon Diggs,WR,BUF/11,3.18,0.67,27.0,4.0,6|08,68.3,63.0,-0.16666666666666666,0.23,
Michael Gallup,WR,DAL/10,3.05,0.65,28.0,4.0,7|02,74.9,72.0,0.3333333333333333,0.21,
Marquise Brown,WR,BAL/8,2.82,0.8,29.0,4.0,7|05,77.6,77.0,0.5,0.2,
Jarvis Landry,WR,CLE/9,2.79,0.66,30.0,4.0,7|04,76.8,74.0,0.3333333333333333,0.18,
AJ Green,WR,CIN/9,2.7,1.0,31.0,4.0,7|09,81.6,70.0,-0.25,0.16,
Julian Edelman,WR,NE/6,2.46,0.84,32.0,4.0,8|01,85.3,82.0,0.5,0.15,
Tyler Boyd,WR,CIN/9,2.41,0.72,33.0,4.0,7|03,75.5,75.0,0.25,0.13,
Marvin Jones,WR,DET/5,2.36,0.69,34.0,4.0,8|05,89.0,90.0,0.9166666666666666,0.12,
Will Fuller,WR,HOU/8,1.95,0.81,35.0,5.0,8|06,90.7,84.0,0.25,0.11,
Jamison Crowder,WR,NYJ/11,1.83,0.6,36.0,5.0,9|10,106.5,118.0,2.1666666666666665,0.1,
Brandin Cooks,WR,HOU/8,1.59,0.91,37.0,5.0,8|11,95.7,95.0,0.75,0.09,
Sterling Shepard,WR,NYG/11,1.49,0.88,38.0,5.0,10|07,115.5,122.0,1.3333333333333333,0.08,
Diontae Johnson,WR,PIT/8,1.44,0.67,39.0,5.0,9|08,104.4,105.0,1.25,0.07,
Darius Slayton,WR,NYG/11,1.26,1.08,40.0,5.0,11|02,122.8,106.0,-0.25,0.06,
CeeDee Lamb,WR,DAL/10,1.2,1.06,41.0,5.0,10|11,119.7,103.0,-0.75,0.05,
Deebo Samuel,WR,SF/11,1.2,0.9,42.0,5.0,10|06,114.4,80.0,-1.9166666666666667,0.05,
Christian Kirk,WR,ARI/8,1.19,0.81,43.0,5.0,9|10,106.5,121.0,2.1666666666666665,0.04,
John Brown,WR,BUF/11,1.06,0.55,44.0,5.0,10|06,114.6,97.0,-0.9166666666666666,0.03,
Preston Williams,WR,MIA/11,1.04,1.13,45.0,5.0,11|08,128.7,148.0,1.9166666666666667,0.03,
Anthony Miller,WR,CHI/11,0.89,0.7,46.0,5.0,11|06,126.5,156.0,3.4166666666666665,0.02,
Golden Tate,WR,NYG/11,0.83,0.96,47.0,5.0,12|04,136.1,151.0,2.4166666666666665,0.02,
Emmanuel Sanders,WR,NO/6,0.65,0.62,48.0,6.0,11|03,123.7,110.0,-0.8333333333333334,0.01,
Jerry Jeudy,WR,DEN/8,0.56,1.21,49.0,6.0,12|05,137.6,109.0,-1.8333333333333333,0.01,
Henry Ruggs,WR,LV/6,0.4,0.94,50.0,6.0,12|06,138.5,129.0,-0.08333333333333333,0.01,
Michael Williams,WR,LAC/10,0.39,0.79,51.0,6.0,12|01,133.5,130.0,0.25,0.0,
Breshad Perriman,WR,NYJ/11,0.3,1.06,52.0,6.0,14|03,159.0,179.0,1.8333333333333333,0.0,
DeSean Jackson,WR,PHI/9,0.21,1.07,53.0,6.0,13|10,154.9,164.0,1.0833333333333333,0.0,
Robby Anderson,WR,CAR/13,0.05,0.88,54.0,6.0,14|02,158.1,157.0,-0.25,0.0,
Curtis Samuel,WR,CAR/13,0.04,0.88,55.0,6.0,14|01,157.6,176.0,2.0,0.0,
NKeal Harry,WR,NE/6,-0.03,0.89,56.0,6.0,14|08,164.8,187.0,2.833333333333333,0.0,
Allen Lazard,WR,GB/5,-0.32,0.61,57.0,6.0,14|04,160.4,194.0,3.25,0.0,
